评论时间,评论者IP归属地,评论内容
2024年,来自福建,哇哦！我也是telegram的重度使用者
2024年,来自天津,我在国外还经常用到WhatsApp
2024年,来自江苏,知道这个消息后赶紧卸载了Telegram
2024年,来自江苏,感觉在国内还是微信用的比较多
2024年,来自辽宁,我平时都用微信
2024年,来自福建,AI现在发展的已经越来越好了啊
2024年,来自贵州,微软副总裁一语道破，AI也要谦虚求助！🙌
2024年,来自贵州,确实需要学会救助[doge]
2024年,来自贵州,希望今年在人工智能方面能有更多突破
2024年,来自广东,真的很有意义！文化传承不能断
2024年,来自浙江,赞
2024年,来自贵州,哇！这声音听起来好舒服
2024年,来自陕西,真是没想到古代乐器也能这么炫酷
2024年,来自福建,用AI来演绎古乐，真的太棒了！
2024年,来自贵州,这个视频真棒！
2024年,来自江苏,这视频让我想到了前不久看的《国家宝藏》
2024年,来自辽宁,这琴听起来很有故事
2024年,来自天津,这个演奏真好听
2024年,来自江西,这个配合电影或电视剧放伴奏太合适了
2024年,来自广东,这画面也太舒适了吧
2024年,来自广东,刚看了央视的节目《经典咏流传》里面也有这些古风歌曲
2024年,来自辽宁,没想到现在的ai技术已经这么厉害了 以后可以去复现很多历史名作了
2024年,来自贵州,好喜欢他们融合传统与创新的作品
2024年,来自安徽,这个演奏好高级啊！
2024年,来自安徽,这算抄袭吧
2024年,来自江西,想知道这个ai写作到底怎么样
2024年,来自云南,有没有可能对这些作者补偿一下
2024年,来自贵州,网文平台也有 AI 争议？这还是第一次听说
2024年,来自江苏,太可恶了！抄袭成瘾
2024年,来自山东,这难道不是公然侵权么
2024年,来自辽宁,这招高呀！让那些不劳而获的人看看
2024年,来自云南,哇塞，晋江这次反应这么快啊
2024年,来自江西,这算不算剽窃啊
2024年,来自云南,有没有可能把那些盗用小说的博主揪出来
2024年,来自安徽,AI 的相关争议一直都是焦点话题
2024年,来自广东,支持正版！反对抄袭
2024年,来自广东,请问这些文章的作者可以获得赔偿嘛
2024年,来自福建,用晋江小说训练AI真的不道德！😡
2024年,来自广东,有没有可能把这些抄袭的文章找出来
2024年,来自山东,这技能加一
2024年,来自贵州,这都能及格！
2024年,来自辽宁,这会不会导致医生和工作岗位减少呢
2024年,来自安徽,这要是放到高考上可得省多少备考时间
2024年,来自辽宁,这个考试的难度挺高的吧
2024年,来自安徽,这算不算是医疗领域的突破呢
2024年,来自福建,这个成绩很优秀了吧
2024年,来自云南,这个证书含金量高么
2024年,来自云南,哇塞 这都能考过
2024年,来自山东,太厉害了！感觉以后医疗行业的就业竞争会更激烈
2024年,来自广东,这个考试成绩还行吧
2024年,来自福建,这个智能生态的概念听起来很有未来感
2024年,来自山东,NVIDIA被苹果超越了？看来AI时代真的来了！🤖🍏
2024年,来自江西,支持国产显卡
2024年,来自广东,你敢买吗？
2024年,来自江苏,这排名靠谱么
2024年,来自广东,这消息真的么
2024年,来自天津,哇塞 我一直觉得apple就是未来科技的引领者
2024年,来自江西,苹果在AI领域的发展速度令人印象深刻
2024年,来自广东,苹果在ai领域这么牛了么
2024年,来自广东,这新闻…看起来像是在告诉我该买买买了
2024年,来自云南,真的假的? 我也想投资了
2024年,来自云南,刚买的iPhone就看到这个消息
2024年,来自天津,听起来好高级
2024年,来自江西,这发布会直播么
2024年,来自云南,这活动听起来很有意思
2024年,来自江西,这个峰会看起来很有料
2024年,来自江西,支持一下！希望中国的数字化能走在世界前列
2024年,来自江西,2024年中国数字人大会，值得期待！
2024年,来自江苏,想知道都有谁参加
2024年,来自天津,有没有可能邀请一些虚拟人的大咖来分享
2024年,来自美国,他是干嘛的
2024年,来自上海,只是下架了之前的sd开源项目，并没有跑路一说
2024年,来自北京,#Runway删库跑路# 遭了，这下runway真的run了[吃惊]#你好人工智能时代#
2024年,来自安徽,这样会留不住人吧？
2024年,来自广东,唉，希望OpenAI能够尽快解决这些问题，推进AI的发展
2024年,来自江苏,到底是谁在流失呀，感觉就是大事很严重一样
2024年,来自山东,AI技术的崛起确实带来了一些道德问题，特别是关于隐私和安全问题
2024年,来自天津,这个新闻真的很令人不适
2024年,来自江苏,这都跟ai有关系呢
2024年,来自四川,太可怕了这新闻
2024年,来自江西,这种视频上传到哪个平台不会被识别出来呢
2024年,来自安徽,这个案例让我对这个科技感到担忧
2024年,来自天津,这种AI技术滥用太可怕了，保护未成年人是关键！🙅‍♀️
2024年,来自北京,这新闻让我觉得有些毛骨悚然
2024年,来自广东,太可怕了 这属于什么罪行啊
2024年,来自江苏,感觉这个新闻挺可怕的
2024年,来自江苏,这些图片会传播到其他地方么
2024年,来自贵州,这新闻好吓人
2024年,来自云南,这个安全措施很有必要
2024年,来自天津,这个新闻让我想起了ChatGPT
2024年,来自江苏,这个决定很明智
2024年,来自安徽,这个决定很有远见
2024年,来自广东,这个决定太明智了
2024年,来自江苏,这个政策真不错，OpenAI和Anthropic的模型更有保障了！👍
2024年,来自江西,最近一直在关注Anthropic
2024年,来自江西,有没有可能像openai这种级别的技术将来会开放给大众
2024年,来自天津,这操作像是为了防止ai技术沦为军备竞赛武器
2024年,来自江苏,美国这个想法挺好的啊[doge]
2024年,来自云南,这个新闻好像只说开放给政府部门看了吧
2024年,来自辽宁,这个举动很明智
2024年,来自山东,这相当于给开放ai打个安全担保了吧
2024年,来自贵州,把这种负责任的态度转发出去
2024年,来自北京,#AI探索计划# 发生了神马呢？
2024年,来自广东,2亿的融资呢，你至少也给点吧
2024年,来自安徽,感觉AI领域还是大有前途的
2024年,来自天津,创业新手谨慎选择，大厂机遇多多
2024年,来自江西,AI创企太难了，看来只有少数人可以生存下来
2024年,来自河北,看到新闻，谷歌的AI创业真是苦不堪言啊
2024年,来自江苏,内部风险技术调查员是什么鬼？
2024年,来自辽宁,这个可以有[哈哈]
2024年,来自贵州,有没有可能这个职位是专门用来处理openai自己产生的问题呢
2024年,来自江西,这职位听起来好高级
2024年,来自福建,这个岗位听起来很高大上
2024年,来自山东,人工智能也需要护卫者👀
2024年,来自辽宁,请问内推有没有机会
2024年,来自天津,这个职位听起来好高级
2024年,来自安徽,做防作弊工作？
2024年,来自贵州,请问这个职位需要哪些技能呢
2024年,来自江西,有内推么
2024年,来自云南,这个职位听起来就很高大上
2024年,来自福建,这个岗位需要熟悉哪些技术？
2024年,来自江苏,看岗位要求还得懂ai
2024年,来自安徽,这个职位听起来很高大上
2024年,来自江西,想看看openai的员工都在做什么
2024年,来自山东,感觉这个工作除了懂ai还得有刑侦知识
2024年,来自陕西,这个岗位听起来很高级
2024年,来自天津,要警惕！
2024年,来自云南,这个岗位是负责防范什么类型的内鬼或者黑客攻击的吗
2024年,来自广东,谁应聘这个岗位？
2024年,来自北京,厉害
2024年,来自广东,[哇]
2024年,来自北京,我是不是也快成失业大军里的一员了
2024年,来自江西,这个举动是说明ai在企业发展中有多重要了吧
2024年,来自安徽,AI替代人类，只能说适应时代发展吧
2024年,来自贵州,听说还有免费的试用期
2024年,来自云南,8000个岗位被取代，IBM真是科技前沿！未来不简单！🚀✨
2024年,来自江西,请问这个岗位的替换是针对全球还是仅仅是中国市场的呢
2024年,来自安徽,是不是意味着以后咱们自己国家的ai技术会突飞猛进啊
2024年,来自云南,太震撼了！看来ai真的能在各个行业大展身手
2024年,来自江苏,请问这个岗位的替代是意味着更多的就业机会还是职业威胁呢
2024年,来自安徽,现在的人工智能已经进步到这种地步了么
2024年,来自云南,有没有可能把那些失业的人培养成新的ai人才
2024年,来自云南,听说这个职位是被ai给替代了
2024年,来自广东,工作方式的改变也意味着我们作为职场人需要不断更新自己的技能树
2024年,来自广东,听说这个工作机会以后可能不太适合我们这种小白人了
2024年,来自辽宁,唉，AI替代人类，想想确实有点伤感
2024年,来自广东,这年头谁还没个被淘汰的岗位
2024年,来自安徽,这个变动太突然了
2024年,来自辽宁,AI现在越来越多的应用范围咯[打call]
2024年,来自云南,是不是意味着以后我们能更方便地接触到ai领域的前沿知识了
2024年,来自广东,这个举动让我感觉未来都是ai的时代了
2024年,来自广东,听说ibm要裁员了
2024年,来自福建,这个变动对我这种爱玩游戏的爱好了吧
2024年,来自江西,感觉是大趋势吧
2024年,来自贵州,听说这个岗位的活儿特别累
2024年,来自江西,AI应用越来越广泛，以后一定是AI的世界
2024年,来自江苏,中国的就业形势太严峻了
2024年,来自江苏,这变化有点大
2024年,来自云南,请问这个ai能替代我的工作么
2024年,来自江苏,感觉是行业趋势吧
2024年,来自贵州,国内哪款ai应用最好用的
2024年,来自安徽,太震撼了
2024年,来自贵州,感觉未来都是ai的时代了
2024年,来自安徽,AI越来越牛逼，可惜我只是个普通人
2024年,来自安徽,那这样的话是不是就说明从此以后 AI 就会一直存在呢
2024年,来自辽宁,这个新闻让我想起了最近在追的一部剧《星期三》
2024年,来自江西,[doge]你别太离谱，现在科技的进步让你不得不面对啊
2024年,来自云南,感觉未来ai会在各种领域的应用场景会越来越广泛了
2024年,来自四川,确实不错[打call][打call]
2024年,来自山东,哇！我还玩过他的uncharted
2024年,来自广东,现在各大厂都在研究ai领域了吧
2024年,来自广东,支持一下Neil的想法！相信科技的力量
2024年,来自江西,正需要这么专业的人才呢，赶紧去吧[打call][打call]
2024年,来自江苏,这应该说明AI在创意生产领域的应用已经得到业内的认可了
2024年,来自四川,听说他们最近在招ai方面的人才
2024年,来自安徽,有没有可能把ai技术应用到电影剧本创作上呢
2024年,来自云南,看着就是不错的呀
2024年,来自广东,这个招聘信息是面向哪方面的ai工程师呢
2024年,来自安徽,这样的会议还是很有必要的
2024年,来自河北,这是大势所趋呀
2024年,来自四川,[doge]国内什么时候能发？
2024年,来自广东,苹果的发布会一般都是周二或者周四
2024年,来自广东,期待新款赶快上市
2024年,来自贵州,人工智能时代，iPhone 16带你玩转黑科技！💡💙
2024年,来自广东,AI将成iPhone16系列宣传重点，你们期待吗？
2024年,来自江西,iPhone 16的AI功能，游戏体验会飞升吧！🎮📱 期待！
2024年,来自天津,苹果又有新突破，iPhone 16必入！时尚与科技的完美结合🎉👗
2024年,来自贵州,智商高哪里不好呢？
2024年,来自北京,@其他用户 
2024年,来自江苏,@其他用户 
2024年,来自天津,仓库404了
2024年,来自湖南,@其他用户 
2024年,来自北京,每分钟一美元[费解]
2024年,来自辽宁,看起来挺好玩的，有时间去看看
2024年,来自云南,AI大模型果然牛X，我来试试…
2024年,来自江西,哇塞，这个AI好厉害啊！
2024年,来自江西,我们西安就是世界第一古都，这个不接受反驳[doge][doge]
2024年,来自安徽,AI大模型讨论历史，感觉就像在玩一场高智商游戏🎮太棒了！
2024年,来自江苏,Neuralink真是科技的奇迹，期待更多成果！💡
2024年,来自云南,这看起来科技感满满的呀，给我们带来了很多的惊喜，感谢大佬的关注和测评[打call][打call]
2024年,来自江西,连CAD设计都能用，Neuralink让人惊叹！😲
2024年,来自江苏,玩反恐精英 2 的脑机接口，未来可期！🚀
2024年,来自广东,这个技术也算是一个突破了呀，以后就能在限定的范围内运用了
2024年,来自贵州,这看起来确实是一个很新奇的技术！而且对我们的生活也有了很多的帮助！
2024年,来自安徽,哇，这也太酷了吧！脑机接口还能玩CS2！？🔥
2024年,来自辽宁,没想到现在咱们的生活已经这么高科技了 必须用科技来提高效率[心]
2024年,来自江西,感觉这个游戏还是很不错的呀 家人们一起来体验一下
2024年,来自浙江,好👌🏻
2024年,来自江西,这个新闻让人惊讶又心酸
2024年,来自安徽,这都上热搜了
2024年,来自安徽,看来说智能机器人在职场还有风险
2024年,来自安徽,这个新闻让我想起最近新入手的人工智能音箱了
2024年,来自福建,这新闻太逗了哈哈
2024年,来自山东,感觉这个新闻好适合做知识科普
2024年,来自广东,这个新闻好有趣哈哈哈
2024年,来自浙江,现在政府都开始采用机器人了么
2024年,来自辽宁,听说这个机器人的故障率挺高的
2024年,来自辽宁,真是令人幽默不已
2024年,来自安徽,果然很有相关讨论度呢
2024年,来自云南,看来机器人也需要休息和锻炼
2024年,来自贵州,这个新闻让我想起之前看的一部科幻电影
2024年,来自安徽,这个新闻让我想起之前那个工作到爆机的工蚁机器人了
2024年,来自山东,这个新闻好搞笑哈哈哈哈
2024年,来自辽宁,这话题起的就很好玩哈，谁不想好好活着[doge]
2024年,来自安徽,这是要步入人工智能时代的脚步了吗？
2024年,来自安徽,这新闻好有趣
2024年,来自河北,这也太有意思了，哈哈哈哈哈哈，好想体验[打call][打call]
2024年,来自云南,这新闻有点好笑
2024年,来自辽宁,我的智能助手还能抢救一下嘛
2024年,来自贵州,这新闻有点反讽
2024年,来自辽宁,这个新闻太有趣了
2024年,来自贵州,我的工作伙伴是AI助手
2024年,来自江西,原来我们已经开始在用AI当公务员了
2024年,来自贵州,请问这个机器人的功能有哪些
2024年,来自天津,这个新闻有点超纲
2024年,来自广东,这个新闻好笑又好惨
2024年,来自安徽,哇！居然还有机器人在政府工作
2024年,来自广东,这个新闻让我想起了最近大火的人工智能电影《失控玩家》
2024年,来自安徽,太可怕了这新闻
2024年,来自山东,这个新闻好有趣
2024年,来自浙江,[赞]
2024年,来自江西,人工智能时尚，让每一步都更聪明👠🤖
2024年,来自福建,咱就说这个数据靠谱不？
2024年,来自安徽,看看人家日本都培养出啥顶尖人才，就知道有多厉害了
2024年,来自江苏,中国的科技越来越厉害了
2024年,来自四川,越来越牛[赞]
2024年,来自江西,有没有可能把比例提升到百分之八九十甚至更高呢
2024年,来自山东,机器人加持的AI游戏，未来新体验🤖🎮
2024年,来自辽宁,机器人技术这么强，期待更多智能产品！✨🤖
2024年,来自贵州,[doge]国内的专利越来越多，这才叫遥遥领先嘛！
2024年,来自福建,这一集怎么感觉亮哥有点假，嘴型对不上啊[嘻嘻]
2024年,来自北京,华为的“鸿矿”在不断布局。
2024年,来自江苏,一台平板能智能教学，学生不会打游戏吗？[笑而不语]
2024年,来自浙江,这一变革将会带来更加高效和便捷的教学方式！
2024年,来自江苏,这是大势所趋，值得鼓励和支持
2024年,来自广东,韩国拟引进AI教材，值得期待！
2024年,来自安徽,支持！我想要这个电子版[doge]
2024年,来自辽宁,是不是韩国人也在智能化了
2024年,来自天津,支持，发展人工智能产业，创造更多就业机会！
2024年,来自安徽,未来的课堂会变成玩平板的游戏大赛吗？
2024年,来自辽宁,我们的生活越来越美好了呀，科技改变了一切[心]
2024年,来自云南,支持大佬！期待ai在教育领域的突破
2024年,来自江苏,人工智能蓬勃发展，会给年轻人更多的机会与挑战！💡📈
2024年,来自江西,工作太卷了！想躺平又想赚钱
2024年,来自江苏,厉害了，这个AI
2024年,来自云南,好奇如果加上ai元素的话哪些领域会更有创新呢
2024年,来自广东,这个专家的解答好透彻
2024年,来自贵州,"作为大学生, AI技术的进步让我感觉未来充满希望"
2024年,来自江苏,有没有啥好用的ai推荐
2024年,来自安徽,把我国的人工智能力排一下
2024年,来自辽宁,现在社会竞争压力越来越大
2024年,来自江西,哇塞，这么酷炫！
2024年,来自广东,这都快成我的座右铭了
2024年,来自江西,这个博文好适合给我这样的ai爱好者看
2024年,来自辽宁,现在科技发展太快了
2024年,来自江苏,有没有可能把ai技术应用到教育领域
2024年,来自辽宁,这个博主是不是懂我了
2024年,来自江苏,感觉ai在娱乐领域大有可为
2024年,来自安徽,学大数据的去培训ai好像很有前途
2024年,来自河北,感觉ai会成为未来的主流趋势
2024年,来自安徽,这都说得通么
2024年,来自云南,这个专家的见解真棒
2024年,来自辽宁,AI变革不仅限于科技，传统行业也将迎来新生！🚀✨
2024年,来自天津,这说的不就是我每天刷微博的样子
2024年,来自江西,请问这个专家的结论有什么数据支撑么
2024年,来自辽宁,这个专访好棒
2024年,来自广东,这样的生活我们一起去体验吧
2024年,来自河北,感觉ai在逐步改变我们的生活
2024年,来自贵州,这个博主好懂事物
2024年,来自贵州,中国的高层是不是在研究这个问题呀
2024年,来自安徽,现在各大厂都在做ai眼镜了呀
2024年,来自江西,已经入手一款了感觉还不错
2024年,来自广东,哪个品牌的ar镜片效果好
2024年,来自广东,感觉这个趋势会让智能手机市场有所改变
2024年,来自安徽,这都是科技巨头布局，那我就期待未来的表现咯
2024年,来自江西,看来看去还是north为首的pvn系列最香
2024年,来自安徽,看来说了算
2024年,来自天津,大家可以一起感受一下这样的氛围感呀
2024年,来自山东,智能手表里的手机功能太实用了
2024年,来自贵州,听说这款眼镜能提供虚拟伴侣
2024年,来自贵州,哇哦~终于轮到我看不懂的世界了吗
2024年,来自广东,去实体店试了新款AR镜片……真是科技感爆棚
2024年,来自江西,Meta的元宇宙计划再进一步，AR眼镜要来了
2024年,来自河北,这么高科技的吗？以后可以用于哪些行业啊？
2024年,来自天津,AI眼镜快来了，时尚又有科技范儿，无法抵挡！😎
2024年,来自江西,是不是马上就可以看到所有人都戴上眼睛生活了
2024年,来自福建,有没有可能完全隐形
2024年,来自云南,看来看去还是诺基亚的最像智能眼镜
2024年,来自贵州,这个概念股听起来很高级
2024年,来自云南,想试试这款ar眼睛玩游戏怎么样
2024年,来自河北,苹果也要布局AR眼镜了吗？
2024年,来自广东,有无人驾驶功能的眼镜么
2024年,来自山东,有没有可能像我这样的懒人星人可以佩戴这款眼睛解放双手
2024年,来自云南,这玩意儿能打游戏么
2024年,来自江西,这个概念听起来就很高级
2024年,来自江苏,把家里变成超级宇宙无敌大屏幕的游戏世界
2024年,来自安徽,亚世光电也四连板，AR智能眼镜会是游戏新神器吗？🎮
2024年,来自江苏,买了Airglass的人都是未来的朋友
2024年,来自安徽,最近看好多明星都在戴smart glasses
2024年,来自云南,这个系列有没有适合小孩子的款式呀
2024年,来自安徽,咱就是说这是心动值要拉满的节奏啊！！好想去体验一下
2024年,来自贵州,买了meta smart glasses!超级适合运动的时候看视频
2024年,来自广东,博士眼镜在智能化方面做得很出色
2024年,来自辽宁,这玩意儿要是能做电影看就好了
2024年,来自江苏,这个版块是涨了吗
2024年,来自辽宁,真的感觉这些技术越来越厉害了[鼓掌]支持一下
2024年,来自广东,AI看病，艾滋起步
2024年,来自辽宁,我投给了“不靠谱”~
2024年,来自安徽,拍张照就诊断？不太靠谱吧，慎重选择🌿。
2024年,来自江苏,AI问诊再智能，也比不上老中医的经验👨‍⚕️。
2024年,来自云南,我觉得靠谱啊，省时省力还更精准了
2024年,来自江西,还是要相信专业医生，别过于依赖AI问诊😊。
2024年,来自云南,医疗领域最期待被信任了，因为大家对专业得信赖！[嘻嘻]
2024年,来自天津,你还别说这AI确实是挺靠谱的啊[doge]
2024年,来自安徽,AI现在真的是在很多方面都开始辅助我们了
2024年,来自山东,AI这么牛嘛 感觉各种行业都在发展
2024年,来自贵州,中药茶饮固然好，但一定要听医嘱哦🍵。
2024年,来自黑龙江,转发微博
2024年,来自山东,美国AI法案大削弱，未来AI游戏是不是更自由了？🎮
2024年,来自北京,这是大势所趋
2024年,来自贵州,期待更多这样的法案
2024年,来自辽宁,总算有点正规化了
2024年,来自天津,看来美国的双A战略是失败了
2024年,来自江西,真希望自己有AI智能
2024年,来自云南,骗子真是无所不能
2024年,来自江苏,手机助手App是不是抄袭？
2024年,来自安徽,AI看似确实挺火，不少人都在用，但要懂得如何辨别AI。看新闻内容中，那些精心设计的APP可真是坑了不少人啊[挖鼻]
2024年,来自云南,我觉得肯定是AI[二哈][二哈][二哈]
2024年,来自广东,手机助手App真的好用吗？
2024年,来自广东,难道只有我一个人觉得假人诈骗更容易吗？
2024年,来自云南,这雕像看起来好高级
2024年,来自安徽,为什么我觉得这个做法好甜
2024年,来自江苏,支持这种分享生活点滴的做法
2024年,来自福建,希望他们俩生一百个儿子 因为我觉得帅到的人每一对都很般配
2024年,来自安徽,哇哦！这照片看起来好高级
2024年,来自江苏,感觉有点凡尔赛
2024年,来自辽宁,感觉好有爱
2024年,来自云南,为什么大家都关注这个
2024年,来自贵州,感觉挺浪漫的
2024年,来自四川,这个图片有点眼熟
2024年,来自江西,为什么我觉得他和他的妻子都很聪明呢
2024年,来自山东,感觉这个照片有点未来感
2024年,来自安徽,感觉好浪漫啊
2024年,来自安徽,哇！这像是艺术品啊
2024年,来自山东,为什么大家都觉得不对呢
2024年,来自云南,这啥神仙老公
2024年,来自江苏,我是真不明白有什么好议论
2024年,来自贵州,我挺欣赏他的审美
2024年,来自江苏,听说这个像是AI制作的
2024年,来自安徽,这雕塑是不是意味着夫妇俩要联合起来统治全世界了
2024年,来自辽宁,这照片拍得真好
2024年,来自江西,这照片拍得挺文艺
2024年,来自广东,感觉这个照片很有艺术感
2024年,来自江苏,这个头像好艺术
2024年,来自广东,哇塞！这照片好文艺
2024年,来自山东,脸书创始人扎克伯格为妻子立像，这算有悖天伦之常吗？
2024年,来自江苏,这个技术除了用于雕像制作还能干嘛
2024年,来自贵州,这照片拍得真有艺术感
2024年,来自江苏,看到好多人问这个雕像在哪里买的
2024年,来自云南,扎克伯格终于想起来了[偷笑]
2024年,来自江苏,这头像确定不是机器人吗？
2024年,来自安徽,有点尴尬，是不是冒犯了神明
2024年,来自安徽,小扎的心头好
2024年,来自四川,扎克伯格的创意科技
2024年,来自广东,搞不懂这是为什么？？
2024年,来自江苏,想问问大家，假女儿在视频里央求妈妈给生活费，真女儿为什么不直接给呢？
2024年,来自云南,【人工智能】科技进步咯，但也要防范风险哦！👾
2024年,来自云南,这算不算欺骗家长？[笑而不语]
2024年,来自山东,这AI换脸技术真是太神奇了！
2024年,来自贵州,感觉以后会经常看到这类ai制作的图文
2024年,来自北京,这ai能学到东西么
2024年,来自江苏,有没有会玩的姐妹分享一下这个ai怎么玩儿
2024年,来自安徽,这个格罗克是不是有点火啊
2024年,来自江西,有没有姐妹试过ai画画啊
2024年,来自云南,这个ai出来的图像有点抽象啊
2024年,来自安徽,想试试这个ai能画出什么样的中国元素插画
2024年,来自天津,有博主用过这个ai嘛
2024年,来自河北,有没有可能把这个技术用在文字创作上
2024年,来自安徽,确实是很令人惊叹啊
2024年,来自山东,太适合做社交动态模板了
2024年,来自浙江,想看看大家都玩了啥好玩的
2024年,来自广东,这个GIF好搞笑
2024年,来自贵州,最近都在用这个ai做表情包
2024年,来自广东,这个ai能做日常素材库么
2024年,来自河北,怎么感觉都在往AI上靠拢了[允悲]
2024年,来自贵州,2真的绝了！创造力满分！👍
2024年,来自江西,这个ai能用来给我做头像么
2024年,来自贵州,哪个博主有原图
2024年,来自广东,这个格罗克跟其他ai不一样在哪里啊
2024年,来自广东,最精彩的AI图片肯定是这张了
2024年,来自云南,有没有大神评测一下这个ai写作怎么样啊
2024年,来自江苏,想了解一下这个ai在工作方面能有什么帮助呢
2024年,来自安徽,有没有会玩的姐妹分享一下这个ai怎么用
2024年,来自辽宁,这个风格挺酷啊
2024年,来自江西,有没有大佬能解析一下这个ai适合什么行业
2024年,来自辽宁,看来看去还是那个跟马斯克的配图最有意思
2024年,来自福建,这AI的图片质量也太差了吧
2024年,来自安徽,这个ai可以用来p图么
2024年,来自江西,真是离谱，居然有人信
2024年,来自福建,AI成新亮点了哈哈哈哈
2024年,来自安徽,感觉这个ai在艺术领域有很大潜力
2024年,来自河北,这个ai感觉挺牛逼的样子
2024年,来自安徽,这个跟chatGPT比怎么样啊
2024年,来自北京,2，打造属于自己的梗图王国！🖼️ #人工智能
2024年,来自江西,这个用来做日常打卡挺好的
2024年,来自江苏,AI现在越来越多了 我也开始关注
2024年,来自贵州,有没有可能把grok嵌入到游戏中
2024年,来自辽宁,哇，马斯克AI发布的模型好逼真啊！会不会有一天人工智能可以替代人类创作者，从而提高生产效率？
2024年,来自广东,这个grok跟我以前用的chatgpt比如何
2024年,来自江苏,这个ai适合做文案助手嘛
2024年,来自江西,感觉这个格罗克二代有点东西
2024年,来自云南,这模型能用来做自媒体文案么
2024年,来自辽宁,把grok当作家聊得好开心
2024年,来自江西,刚试了GROK II生了个段子
2024年,来自云南,把ai当人类伙伴有点太理想主义了
2024年,来自山东,把博主们都惊呆了
2024年,来自河北,这玩意儿好玩么
2024年,来自山东,我试了GROK II生表情包
2024年,来自江西,这玩意儿跟chatGPT比咋样啊
2024年,来自天津,把grok当对象的话...有点小财阀的感觉
2024年,来自辽宁,请问这个ai可以用来写文章或者小说么
2024年,来自安徽,这个ai能干什么啊
2024年,来自贵州,有没有可能把这种ai用在文字编辑和视频剪辑上
2024年,来自辽宁,这个grok跟chatGPT比怎么样啊
2024年,来自江苏,听说这款ai在文本创意上很有优势
2024年,来自云南,这画面有点创意啊[doge]
2024年,来自安徽,好奇这个ai能干什么
2024年,来自山东,这个grok跟其他ai有什么区别啊
2024年,来自广东,这个梗图好有创意啊！
2024年,来自安徽,这ai要是会用的话简直生产力利器好吧
2024年,来自安徽,买了这个的人说说看感受
2024年,来自江西,请问这个ai开放给普通大众了吗
2024年,来自重庆,中国队加油
2024年,来自江西,创初公司都卷，那谁来设计我们的游戏啊🌟
2024年,来自安徽,竞争很激烈，不卷的话会落后
2024年,来自辽宁,只要合法合规，赢利就好
2024年,来自山东,赞同他这一说法[嘻嘻]
2024年,来自安徽,我觉得初创公司没必要太卷，合理合规赚钱就行，要关注产品质量和用户体验
2024年,来自云南,企业应该合理竞争，而不是盲目追求竞争
2024年,来自贵州,这个观点认同的，就看具体怎么卷了
2024年,来自贵州,卷是必须的，毕竟大家都在抢市场份额，不卷快些，就被淘汰
2024年,来自安徽,居然是因为内卷没openai厉害
2024年,来自江苏,为什么微软不做chatGPT呢
2024年,来自江西,支持 Eric！希望大公司都能重视 AI
2024年,来自云南,这是正常现象，人类工作岗位未来也要减少，但要注意的是，[doge][doge][doge]
2024年,来自云南,原来老板们也在内卷
2024年,来自广东,谷歌输给OpenAI？看来AI战场上还得再卷一卷了[笑cry] #人工智能
2024年,来自山东,有没有可能不是远程的原因呢
2024年,来自辽宁,感觉是因为人员流失导致创新力下降了
2024年,来自云南,Open AI 的成功是因为他们专注啊
2024年,来自江西,这个观点有点意思
2024年,来自广东,有道理
2024年,来自江苏,以前大厂最不缺的就是人，现在除了高端岗位和特定工种需要，剩下的工作岗位都在裁员啦！当然都是炒作概念
2024年,来自云南,这哥们是不是有点过于悲观啊
2024年,来自江苏,把会议室搬到家里真的不行
2024年,来自安徽,施密特讲得有道理，远程办公难免让团队合作打折[二哈] #人工智能
2024年,来自云南,看视频发现，谷歌还要再加把劲，不然赶不上潮流了[doge] #时尚
2024年,来自贵州,这话说得有点绝对了吧
2024年,来自山东,所以说是工作性质决定了 AI 的未来走向么
2024年,来自四川,为啥觉得远程工作应该影响不到ai层面呢
2024年,来自贵州,角色扮演等
2024年,来自上海,唠嗑
2024年,来自安徽,AI现在真的是越来越多了，很多人都会用
2024年,来自天津,AI可以替代许多工作，并提高整体业务流程的效率
2024年,来自天津,没用它做具体工作，就是聊聊天获得一些知识和思路
2024年,来自云南,AI技术的发展正在改变我们的生活方式
2024年,来自江西,感觉大家都在用啊[doge]
2024年,来自天津,工作中用AI提高效率，再也不用加班啦😎👍
2024年,来自江苏,这个观点有点……不太合适吧
2024年,来自浙江,感觉有点道德风险……这不算抄袭么
2024年,来自江苏,AI现在真的是老了干的好啊[允悲]
2024年,来自云南,请问这个言论违反了哪些法律法规呢
2024年,来自广东,这个观点有点惊世骇俗
2024年,来自福建,抄袭不是正道
2024年,来自广东,AI 已经开始替代人类了，令人担忧
2024年,来自北京,互联网界需要更多的监管了，不然AI领域会混乱不堪
2024年,来自辽宁,为什么大家都觉得抄袭是对的
2024年,来自贵州,AI创业公司可以先偷后处理？这简直是流氓行为！
2024年,来自贵州,这说法有点离谱吧
2024年,来自江苏,我倒觉得这是对未来的一种预言
2024年,来自安徽,不得不说，这个创意真是大胆！
2024年,来自辽宁,这个观点有点颠覆我的认知了
2024年,来自山东,这言论太恶心人了
2024年,来自安徽,现在ai技术这么先进了吗
2024年,来自辽宁,我挺认可他的观点
2024年,来自云南,支持创新就要容忍一定的风险
2024年,来自云南,谷歌前CEO说的话真是令人震惊！
2024年,来自天津,感觉有点道德风险啊
